vehicle_id,manufacturer,range,model,derivative,transmission,trim,sector,bodystyle,fueltype,fueldelivery,engine_litres,drivetrain
86054,MERCEDES-BENZ,A CLASS,A CLASS HATCHBACK,A200 AMG Line 5dr,MANUAL,AMG LINE,PRESTIGE LOWER,HATCHBACK,PETROL,TURBO,1.3,FRONT WHEEL DRIVE
91229,TOYOTA,C-HR,C-HR HATCHBACK,2.0 Hybrid Dynamic 5dr CVT [Leather/JBL],AUTOMATIC,DYNAMIC,MEDIUM,HATCHBACK,PETROL/ELECTRIC HYBRID,INJECTION,2.0,FRONT WHEEL DRIVE
87304,FORD,KUGA,KUGA ESTATE,1.5 EcoBoost 176 ST-Line Edition  5dr Auto,AUTOMATIC,ST-LINE EDITION,4X4 MEDIUM,ESTATE,PETROL,TURBO,1.5,FOUR WHEEL DRIVE
74189,BMW,M4,M4 CONVERTIBLE,M4 2dr [Competition Pack],MANUAL,M4,PRESTIGE CONVERTIBLE MEDIUM,CONVERTIBLE,PETROL,TURBO,3.0,REAR WHEEL DRIVE
84555,MERCEDES-BENZ,E CLASS,E CLASS CABRIOLET,E450 4Matic AMG Line Premium Plus 2dr 9G-Tronic,AUTOMATIC,AMG LINE,PRESTIGE CONVERTIBLE LARGE,CABRIOLET,PETROL,TURBO,3.0,FOUR WHEEL DRIVE
84741,FORD,MUSTANG,MUSTANG FASTBACK,5.0 V8 Bullitt 2dr,MANUAL,BULLITT,COUPE LARGE,COUPE,PETROL,INJECTION,5.0,REAR WHEEL DRIVE
88643,LAMBORGHINI,HURACAN,HURACAN EVO SPYDER,5.2 V10 640 2dr Auto AWD,AUTOMATIC,"",PRESTIGE CONVERTIBLE MEDIUM,CONVERTIBLE,PETROL,INJECTION,5.2,FOUR WHEEL DRIVE
83525,FORD,FOCUS,FOCUS DIESEL ESTATE,1.5 EcoBlue 120 Titanium X 5dr,MANUAL,TITANIUM X,ESTATE MEDIUM,ESTATE,DIESEL,TURBO,1.5,FRONT WHEEL DRIVE
89788,MERCEDES-BENZ,C CLASS,C CLASS SALOON,C180 AMG Line Edition 4dr Auto,AUTOMATIC,AMG LINE EDITION,PRESTIGE MEDIUM,SALOON,PETROL,TURBO,1.6,REAR WHEEL DRIVE
90857,BMW,Z4,Z4 ROADSTER,sDrive M40i 2dr Auto [Black Pack],AUTOMATIC,M40I,PRESTIGE CONVERTIBLE SMALL,ROADSTER,PETROL,TURBO,3.0,REAR WHEEL DRIVE
